check_number,initial_status,indexing_status,is_deleted,page_number,row_number
160871,Success,Success,0,2,5,
000440533,Success,Success,0,2,2,
286486,Success,Success,0,2,2,
015722,Success,Success,0,4,2,
015722,Success,Success,0,4,3,
003835,Success,Success,0,3,3,
000072379,Success,Success,0,2,2,
045764,Success,Success,0,2,3,
032510,Success,Success,0,2,2,
006471,Success,Success,0,2,3,
007476,Success,Success,0,2,5,
400960,Success,Success,0,2,5,
028806,Success,Success,0,2,3,
128822,Success,Success,0,2,2,
085856,Success,Success,0,3,3,
015614,Success,Success,0,2,3,
32756,Success,Success,0,2,4,
022217,Success,Success,0,2,6,
54305356,Success,Success,0,2,3,
54305356,Success,Success,0,2,28,
011111,Success,Success,0,2,4,
073475,Success,Success,0,2,3,
027411,Success,Success,0,2,2,
000480,Success,Success,0,2,2,
013927,Success,Success,0,3,5,
165098,Success,Success,0,2,2,
060563,Success,Success,0,2,4,
010073,Success,Success,0,2,3,
52228,Success,Success,0,4,3,
52228,Success,Success,0,4,4,
057473,Success,Success,0,2,3,
022848,Success,Success,0,2,3,
021487,Success,Success,0,3,3,
000000003712,Success,Success,0,3,5,
000051107,Success,Success,0,3,2,
000051107,Success,Success,0,3,3,
000051107,Success,Success,0,3,4,
000051107,Success,Success,0,3,5,
000051107,Success,Success,0,3,6,
016723,Success,Success,0,3,2,
029838,Success,Success,0,3,2,
029838,Success,Success,0,3,3,
00443098,Success,Success,0,3,7,
053293,Success,Success,0,3,6,
31107231,Success,Success,0,3,3,
0093038,Success,Success,0,3,3,
065134,Success,Success,0,3,2,
082471,Success,Success,1,2,3,
082471,Success,Success,0,3,4,
082471,Success,Success,0,3,5,
507451,Success,Success,0,3,2,
00072117,Success,Success,0,3,4,
000171654,Success,Success,0,3,2,
000171654,Success,Success,0,3,3,
011498,Success,Success,0,3,3,
000391228,Success,Success,0,3,5,
000391229,Success,Success,0,3,4,
010204,Success,Success,0,3,5,
030172,Success,Success,0,3,3,
023544,Success,Success,0,3,2,
141760,Success,Success,0,3,3,
372621,Success,Success,0,3,3,
1028192,Success,Success,0,3,3,
0000018635,Success,Success,0,3,2,
0000018635,Success,Success,0,3,3,
0000018635,Success,Success,1,4,2,
0000018635,Success,Success,1,4,3,
364420,Success,Success,0,3,2,
55458130,Success,Success,0,3,4,
01272905,Success,Success,0,3,6,
000391227,Success,Success,0,3,4,
115995,Success,Success,0,3,2,
055134,Success,Success,0,3,3,
00834344,Success,Success,0,3,6,
00834344,Success,Success,0,3,7,
00834344,Success,Success,0,3,8,
00834344,Success,Success,0,3,9,
0000205561,Success,Success,1,2,5,
0000205561,Success,Success,0,3,13,
079206,Success,Success,0,3,3,
000003327,Success,Success,0,3,2,
397086,Success,Success,0,3,5,
1595203,Success,Success,0,3,4,
236876,Success,Success,0,3,7,
0000058964,Success,Success,0,3,14,
075221,Success,Success,0,3,2,
075221,Success,Success,0,3,3,
075221,Success,Success,0,3,4,
002896,Success,Success,0,3,2,
171975,Success,Success,0,3,3,
003698,Success,Success,0,3,6,
003698,Success,Success,0,3,8,
336027,Success,Success,0,3,3,
336027,Success,Success,0,3,4,
10001410,Success,Success,0,3,3,
000171600,Success,Success,0,3,2,
000150705,Success,Success,0,3,2,
00001230,Success,Success,0,3,3,
00001230,Success,Success,0,3,4,
00001230,Success,Success,0,3,5,
309932,Success,Success,0,3,4,
21614,Success,Success,0,3,3,
2026,Success,Success,0,3,3,
2026,Success,Success,0,3,4,
013644,Success,Success,0,3,2,
013644,Success,Success,1,3,4,
096649,Success,Success,0,3,4,
096649,Success,Success,0,3,5,
986953,Success,Success,0,3,5,
986953,Success,Success,0,3,6,
486460,Success,Success,0,3,2,
486460,Success,Success,0,3,3,
486460,Success,Success,0,3,4,
486460,Success,Success,0,3,5,
486460,Success,Success,0,3,6,
11143967,Success,Success,0,3,6,
90529,Success,Success,0,3,7,
075609,Success,Success,1,2,8,
075609,Success,Success,0,3,3,
075609,Success,Success,0,3,4,
0009055324,Success,Success,0,3,14,
028491,Success,Success,0,3,3,
028491,Success,Success,0,3,4,
013427,Success,Success,1,2,7,
013427,Success,Success,0,3,3,
67834,Success,Success,1,2,6,
67834,Success,Success,0,3,3,
030956,Success,Success,0,3,3,
111149,Success,Success,0,3,4,
090243,Success,Success,0,3,3,
000107294,Success,Success,0,3,2,
000107294,Success,Success,0,3,3,
272110,Success,Success,0,3,4,
00167858,Success,Success,0,3,4,
003528,Success,Success,0,3,3,
024442,Success,Success,0,3,3,
024442,Success,Success,1,4,3,
000201510,Success,Success,0,3,2,
007864,Success,Success,0,3,3,
960455,Success,Success,1,2,7,
960455,Success,Success,0,3,3,
0000050616,Success,Success,0,3,1,
0004334,Success,Success,0,3,2,
0001747570,Success,Success,0,3,3,
038602,Success,Success,0,3,3,
020070,Success,Success,0,3,3,
020070,Success,Success,0,3,4,
265586,Success,Success,0,3,3,
0060069081,Success,Success,0,3,1,
0200992,Success,Success,0,3,5,
014215,Success,Success,0,3,2,
051187,Success,Success,0,3,3,
051187,Success,Success,0,3,4,
051187,Success,Success,0,3,5,
077223,Success,Success,0,3,3,
218498,Success,Success,0,3,2,
13569265,Success,Success,0,3,4,
573589,Success,Success,0,3,2,
000264544,Success,Success,0,3,4,
172579,Success,Success,0,3,2,
172579,Success,Success,0,3,3,
172579,Success,Success,0,3,4,
00271877,Success,Success,1,2,6,
00271877,Success,Success,0,3,2,
00318809,Success,Success,0,3,5,
026799,Success,Success,0,3,3,
9266001691,Success,Success,0,3,2,
074902,Success,Success,0,3,4,
074902,Success,Success,0,3,5,
124687,Success,Success,0,3,3,
036415,Success,Success,0,3,2,
15635,Success,Success,0,3,5,
268130,Success,Success,0,3,2,
268130,Success,Success,0,3,3,
268130,Success,Success,0,3,4,
289933,Success,Success,0,3,3,
289933,Success,Success,0,3,4,
289933,Success,Success,0,3,5,
1329,Success,Success,0,3,3,
001684,Success,Success,0,3,3,
000014533,Success,Success,0,3,1,
025278,Success,Success,1,2,4,
025278,Success,Success,0,3,6,
025278,Success,Success,0,3,7,
021111,Success,Success,0,3,3,
151718,Success,Success,0,3,3,
164857,Success,Success,0,3,3,
057398,Success,Success,0,3,4,
020625,Success,Success,0,3,3,
201947,Success,Success,0,3,4,
000119447,Success,Success,0,3,2,
402911,Success,Success,1,2,5,
402911,Success,Success,0,3,5,
134202,Success,Success,1,2,7,
134202,Success,Success,0,3,2,
011656,Success,Success,0,3,2,
00121186,Success,Success,0,3,1,
01825255,Success,Success,0,3,4,
01825255,Success,Success,0,3,5,
105791,Success,Success,0,3,3,
186580,Success,Success,0,3,2,
197154,Success,Success,0,3,5,
000112502,Success,Success,0,3,1,
0034117033,Success,Success,0,3,11,
262887,Success,Success,0,3,2,
0038277,Success,Success,0,3,2,
091693,Success,Success,0,3,4,
046563,Success,Success,0,3,3,
008950,Success,Success,0,3,5,
040357,Success,Success,0,3,3,
000251832,Success,Success,1,2,6,
000251832,Success,Success,0,3,2,
000251832,Success,Success,0,3,3,
266822,Success,Success,0,3,3,
024389,Success,Success,0,3,3,
013575,Success,Success,0,3,4,
116563,Success,Success,1,2,6,
116563,Success,Success,0,3,2,
001174052,Success,Success,0,3,8,
010779,Success,Success,0,3,3,
024270,Success,Success,0,3,3,
024270,Success,Success,0,3,4,
000001036,Success,Success,0,3,2,
000001036,Success,Success,0,3,3,
180447,Success,Success,0,3,2,
180447,Success,Success,0,3,3,
011301,Success,Success,0,3,3,
154123,Success,Success,1,2,2,
154123,Success,Success,0,3,2,
488399,Success,Success,0,3,4,
001610,AR Check Failed,AR Check Failed,0,2,3,
0000050747,AR Check Failed,AR Check Failed,0,2,3,
0000050747,AR Check Failed,AR Check Failed,0,2,4,
